source_center,destination_center,route_type,time_of_day,median_segment_factor,median_segment_actual_time,median_segment_osrm_time,median_segment_osrm_distance,trip_count,source_name,destination_name
IND000000AAL,IND411033AAA,Carting,Afternoon,2.4166666666666665,35.0,15.0,14.8485,21,Pune_PC (Maharashtra),Pune_Tathawde_H (Maharashtra)
IND000000AAL,IND411033AAA,Carting,Evening,2.0,29.0,14.0,13.98095,10,Pune_PC (Maharashtra),Pune_Tathawde_H (Maharashtra)
IND000000AAL,IND411033AAA,Carting,Morning,3.1974358974358976,43.5,14.0,14.22935,2,Pune_PC (Maharashtra),Pune_Tathawde_H (Maharashtra)
IND000000AAL,IND411033AAA,Carting,Night,1.8666666666666667,26.0,12.5,13.4413,4,Pune_PC (Maharashtra),Pune_Tathawde_H (Maharashtra)
IND000000AAQ,IND700028AAB,Carting,Night,4.9393939393939394,33.0,7.0,6.924899999999999,4,Barasat_KrshnNgr_D (West Bengal),CCU_DumDum_DPC (West Bengal)
IND000000AAS,IND783370AAC,FTL,Morning,1.7857142857142856,35.0,15.0,21.225450000000002,12,Bongaigaon_Chpaguri_D (Assam),Kokrajhar_PigonDPP_D (Assam)
IND000000AAS,IND783370AAC,FTL,Night,1.8422619047619047,34.5,14.5,20.94415,6,Bongaigaon_Chpaguri_D (Assam),Kokrajhar_PigonDPP_D (Assam)
IND000000AAZ,IND444203AAA,FTL,Evening,3.2083333333333335,101.0,24.0,32.8635,3,Buldhana_Thsil3PL_D (Maharashtra),Shegaon_SChwkDPP_D (Maharashtra)
IND000000AAZ,IND444303AAA,FTL,Evening,2.0434782608695654,47.0,23.0,29.6238,3,Buldhana_Thsil3PL_D (Maharashtra),Khamgaon_WamanDPP_D (Maharashtra)
IND000000ABA,IND683565AAA,Carting,Afternoon,0.4523809523809524,9.5,11.0,9.1186,2,Cochin_Chtrpuza_D (Kerala),Kunnathund_Pringla_D (Kerala)
IND000000ABA,IND683565AAA,Carting,Evening,1.0,22.0,13.0,11.3572,11,Cochin_Chtrpuza_D (Kerala),Kunnathund_Pringla_D (Kerala)
IND000000ABD,IND562132AAA,FTL,Afternoon,1.391304347826087,44.0,31.0,28.538,79,Pallakad_ChndrNgr_D (Kerala),Bangalore_Nelmngla_H (Karnataka)
IND000000ABD,IND562132AAA,FTL,Evening,1.5185185185185186,47.0,28.0,30.1801,65,Pallakad_ChndrNgr_D (Kerala),Bangalore_Nelmngla_H (Karnataka)
IND000000ABG,IND501359AAF,Carting,Afternoon,2.090909090909091,18.0,11.0,11.1504,41,Hyderabad_Bownplly_C (Telangana),Hyderabad_Shamshbd_P (Telangana)
IND000000ACA,IND140406AAA,FTL,Night,1.7421052631578946,24.0,15.0,22.3552,6,Ludhiana_MilrGanj_HB (Punjab),SirhindFatehgarh_DC (Punjab)
IND000000ACA,IND142001AAB,FTL,Afternoon,1.5147058823529411,24.0,16.0,22.750799999999998,36,Ludhiana_MilrGanj_HB (Punjab),Moga_DPC (Punjab)
IND000000ACA,IND142401AAA,FTL,Night,2.3333333333333335,24.0,15.0,21.73595,24,Ludhiana_MilrGanj_HB (Punjab),Khanna_DC (Punjab)
IND000000ACA,IND143001AAA,FTL,Afternoon,1.625,31.0,17.0,25.1575,7,Ludhiana_MilrGanj_HB (Punjab),Amritsar_DPC (Punjab)
IND000000ACA,IND144001AAB,FTL,Afternoon,1.6153846153846154,28.0,17.0,24.9714,48,Ludhiana_MilrGanj_HB (Punjab),Jalandhar_DPC (Punjab)
IND000000ACA,IND144001AAB,FTL,Evening,1.5789473684210527,30.0,19.0,25.1857,3,Ludhiana_MilrGanj_HB (Punjab),Jalandhar_DPC (Punjab)
IND000000ACA,IND144514AAA,FTL,Evening,2.2743589743589743,83.0,34.5,34.44965,2,Ludhiana_MilrGanj_HB (Punjab),Nawanshahr_DC (Punjab)
IND000000ACA,IND144514AAA,FTL,Night,1.2051282051282053,38.5,34.5,30.464000000000002,22,Ludhiana_MilrGanj_HB (Punjab),Nawanshahr_DC (Punjab)
IND000000ACA,IND147301AAA,FTL,Night,2.0555555555555554,25.5,17.0,22.672250000000002,6,Ludhiana_MilrGanj_HB (Punjab),Mandi_Gobindgarh_DC (Punjab)
IND000000ACA,IND152026AAA,FTL,Afternoon,1.411764705882353,24.0,17.0,22.7161,7,Ludhiana_MilrGanj_HB (Punjab),Muktsar_DPC (Punjab)
IND000000ACA,IND160002AAC,Carting,Night,1.6666666666666667,10.0,6.5,9.7844,10,Ludhiana_MilrGanj_HB (Punjab),Chandigarh_Mehmdpur_H (Punjab)
IND000000ACA,IND160002AAC,FTL,Afternoon,2.1291666666666664,32.0,15.0,22.159599999999998,120,Ludhiana_MilrGanj_HB (Punjab),Chandigarh_Mehmdpur_H (Punjab)
IND000000ACA,IND160002AAC,FTL,Evening,1.8666666666666667,30.0,15.5,22.68445,52,Ludhiana_MilrGanj_HB (Punjab),Chandigarh_Mehmdpur_H (Punjab)
IND000000ACA,IND160002AAC,FTL,Morning,1.7333333333333334,27.0,15.0,22.3327,121,Ludhiana_MilrGanj_HB (Punjab),Chandigarh_Mehmdpur_H (Punjab)
IND000000ACB,IND000000AEL,Carting,Afternoon,1.9375,19.0,9.5,10.810649999999999,12,Gurgaon_Bilaspur_HB (Haryana),Delhi_PunjabiB_L (Delhi)
IND000000ACB,IND000000AEL,Carting,Evening,1.4807692307692308,16.0,10.0,10.686399999999999,84,Gurgaon_Bilaspur_HB (Haryana),Delhi_PunjabiB_L (Delhi)
IND000000ACB,IND000000AEL,Carting,Night,2.126984126984127,20.0,10.5,11.161650000000002,42,Gurgaon_Bilaspur_HB (Haryana),Delhi_PunjabiB_L (Delhi)
IND000000ACB,IND110024AAA,Carting,Afternoon,1.7571428571428571,21.5,12.0,12.1812,36,Gurgaon_Bilaspur_HB (Haryana),Delhi_Lajpat_IP (Delhi)
IND000000ACB,IND110030AAD,Carting,Afternoon,1.5555555555555556,12.0,9.0,10.129950000000001,100,Gurgaon_Bilaspur_HB (Haryana),Delhi_Kishangarh_DPC (Delhi)
IND000000ACB,IND110030AAD,Carting,Evening,1.6,12.0,11.0,11.9139,15,Gurgaon_Bilaspur_HB (Haryana),Delhi_Kishangarh_DPC (Delhi)
IND000000ACB,IND110030AAD,Carting,Night,1.9047619047619047,14.0,12.0,12.8497,19,Gurgaon_Bilaspur_HB (Haryana),Delhi_Kishangarh_DPC (Delhi)
IND000000ACB,IND110037AAK,Carting,Evening,1.5384615384615385,15.0,9.0,10.330649999999999,138,Gurgaon_Bilaspur_HB (Haryana),Delhi_Kapshera_L (Delhi)
IND000000ACB,IND110037AAK,Carting,Night,1.5,14.5,9.0,9.943200000000001,20,Gurgaon_Bilaspur_HB (Haryana),Delhi_Kapshera_L (Delhi)
IND000000ACB,IND110043AAA,Carting,Afternoon,1.7777777777777777,14.0,9.0,10.13505,52,Gurgaon_Bilaspur_HB (Haryana),Delhi_Nangli_IP (Delhi)
IND000000ACB,IND110043AAA,Carting,Evening,1.66875,15.0,9.0,9.892,8,Gurgaon_Bilaspur_HB (Haryana),Delhi_Nangli_IP (Delhi)
IND000000ACB,IND110043AAA,Carting,Night,2.5714285714285716,20.0,12.0,10.5895,7,Gurgaon_Bilaspur_HB (Haryana),Delhi_Nangli_IP (Delhi)
IND000000ACB,IND110043AAC,Carting,Afternoon,1.8911764705882352,22.5,11.5,12.79005,10,Gurgaon_Bilaspur_HB (Haryana),Delhi_Nangli_L (Delhi)
IND000000ACB,IND110043AAC,Carting,Night,1.5384615384615385,18.0,13.0,13.7966,35,Gurgaon_Bilaspur_HB (Haryana),Delhi_Nangli_L (Delhi)
IND000000ACB,IND110052AAA,Carting,Evening,1.5,13.0,9.0,9.8728,14,Gurgaon_Bilaspur_HB (Haryana),Delhi_Wazirpur_L (Delhi)
IND000000ACB,IND110064AAA,Carting,Afternoon,1.5,15.0,10.0,10.6156,114,Gurgaon_Bilaspur_HB (Haryana),Delhi_Mayapuri_PC (Delhi)
IND000000ACB,IND110064AAA,Carting,Evening,1.2111111111111112,11.0,9.0,10.2714,84,Gurgaon_Bilaspur_HB (Haryana),Delhi_Mayapuri_PC (Delhi)
IND000000ACB,IND110064AAA,Carting,Night,1.4,14.0,10.0,10.9558,88,Gurgaon_Bilaspur_HB (Haryana),Delhi_Mayapuri_PC (Delhi)
IND000000ACB,IND110085AAB,Carting,Afternoon,1.4444444444444444,14.0,10.0,10.58495,116,Gurgaon_Bilaspur_HB (Haryana),Delhi_Rohini_DPC (Delhi)
IND000000ACB,IND110085AAB,Carting,Evening,1.0833333333333333,12.0,13.0,11.3793,21,Gurgaon_Bilaspur_HB (Haryana),Delhi_Rohini_DPC (Delhi)
IND000000ACB,IND110085AAB,Carting,Night,1.58125,14.5,10.0,10.9932,28,Gurgaon_Bilaspur_HB (Haryana),Delhi_Rohini_DPC (Delhi)
IND000000ACB,IND110092AAC,Carting,Afternoon,1.7046783625730995,14.0,10.0,10.018450000000001,14,Gurgaon_Bilaspur_HB (Haryana),Delhi_Patparganj_DPC (Delhi)
IND000000ACB,IND110092AAC,Carting,Evening,1.0909090909090908,13.0,11.0,12.1135,21,Gurgaon_Bilaspur_HB (Haryana),Delhi_Patparganj_DPC (Delhi)
IND000000ACB,IND110095AAB,Carting,Evening,0.9198717948717949,11.0,11.0,10.78555,126,Gurgaon_Bilaspur_HB (Haryana),Delhi_Jhilmil_L (Delhi)
IND000000ACB,IND110095AAB,Carting,Night,2.174242424242424,25.0,10.0,11.1725,140,Gurgaon_Bilaspur_HB (Haryana),Delhi_Jhilmil_L (Delhi)
IND000000ACB,IND121002AAB,Carting,Afternoon,2.0,20.0,10.5,10.6205,84,Gurgaon_Bilaspur_HB (Haryana),Faridabad_Mthurard_L (Haryana)
IND000000ACB,IND121002AAB,Carting,Evening,1.422222222222222,16.0,11.0,12.08755,132,Gurgaon_Bilaspur_HB (Haryana),Faridabad_Mthurard_L (Haryana)
IND000000ACB,IND121002AAB,Carting,Morning,1.7333333333333334,23.0,11.5,10.8773,6,Gurgaon_Bilaspur_HB (Haryana),Faridabad_Mthurard_L (Haryana)
IND000000ACB,IND121002AAB,Carting,Night,1.75,21.0,12.0,11.3595,119,Gurgaon_Bilaspur_HB (Haryana),Faridabad_Mthurard_L (Haryana)
IND000000ACB,IND121004AAB,Carting,Evening,1.5625,18.0,11.0,11.2022,95,Gurgaon_Bilaspur_HB (Haryana),FBD_Balabhgarh_DPC (Haryana)
IND000000ACB,IND121004AAB,Carting,Night,1.6785714285714284,19.0,11.0,11.1778,90,Gurgaon_Bilaspur_HB (Haryana),FBD_Balabhgarh_DPC (Haryana)
IND000000ACB,IND122001AAA,Carting,Afternoon,1.5902777777777777,14.0,9.0,10.4391,62,Gurgaon_Bilaspur_HB (Haryana),GGN_DPC (Haryana)
IND000000ACB,IND122001AAA,Carting,Evening,1.2,11.5,9.0,10.40525,76,Gurgaon_Bilaspur_HB (Haryana),GGN_DPC (Haryana)
IND000000ACB,IND122001AAA,Carting,Morning,1.5,17.0,9.0,10.20655,12,Gurgaon_Bilaspur_HB (Haryana),GGN_DPC (Haryana)
IND000000ACB,IND122001AAA,Carting,Night,1.5,15.0,9.0,10.36325,74,Gurgaon_Bilaspur_HB (Haryana),GGN_DPC (Haryana)
IND000000ACB,IND122015AAC,Carting,Morning,1.8333333333333335,19.0,10.0,11.16365,4,Gurgaon_Bilaspur_HB (Haryana),Unknown_Destination
IND000000ACB,IND122015AAC,Carting,Night,2.125,21.0,8.5,9.3951,4,Gurgaon_Bilaspur_HB (Haryana),Unknown_Destination
