node_id,node_name
IND388121AAA,Anand_VUNagar_DC (Gujarat)
IND388620AAB,Khambhat_MotvdDPP_D (Gujarat)
IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra)
IND400011AAA,LowerParel_CP (Maharashtra)
IND562132AAA,Bangalore_Nelmngla_H (Karnataka)
IND560099AAB,Bengaluru_Bomsndra_HB (Karnataka)
IND141003AAB,Ludhiana_GillChwk_DC (Punjab)
IND142026AAA,Jagraon_DC (Punjab)
IND141109AAA,Raikot_DC (Punjab)
IND362001AAA,Junagadh_DPC (Gujarat)
IND362265AAA,Veraval_DC (Gujarat)
IND362720AAA,Kodinar_NCplxDPP_D (Gujarat)
IND362560AAA,Una_Mamlatdr_DC (Gujarat)
IND362150AAA,Talala_SsnRdDPP_D (Gujarat)
IND131028AAB,Sonipat_Kundli_H (Haryana)
IND247667AAB,Roorkee_IOTCEncl_L (Uttarakhand)
IND249407AAA,Haridwar (Uttarakhand)
IND600056AAB,MAA_Poonamallee_HB (Tamil Nadu)
IND000000ACA,Ludhiana_MilrGanj_HB (Punjab)
IND144001AAB,Jalandhar_DPC (Punjab)
IND122004AAA,Gurgaon_Begumpur_CP (Haryana)
IND302014AAA,Jaipur_Hub (Rajasthan)
IND305001AAC,Ajmer_FoySGRRD_I (Rajasthan)
IND306401AAB,Pali_Nayagaon_I (Rajasthan)
IND342005AAD,Jodhpur_Basni_I (Rajasthan)
IND342601AAA,Piparcity_BsstdDPP_D (Rajasthan)
IND342902A1B,Unknown_Source
IND000000ACK,Hyderabad_Chikdply_C (Telangana)
IND462022AAA,Bhopal_Trnsport_H (Madhya Pradesh)
IND209304AAA,Kanpur_Central_H_6 (Uttar Pradesh)
IND206122AAA,Auraiya_AryaNagr_D (Uttar Pradesh)
IND206001AAA,Etawah_MhraChng_D (Uttar Pradesh)
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana)
IND382430AAB,Ahmedabad_East_H_1 (Gujarat)
IND395023AAA,Surat_HUB (Gujarat)
IND431603AAA,Nanded_Aswningr_I (Maharashtra)
IND431708AAA,Loha_SivjiCWK_D (Maharashtra)
IND431514AAA,Gangakher_Busstand_D (Maharashtra)
IND431515AAA,Parli_JirgeNgr_D (Maharashtra)
IND431517AAB,Ambajogai_BnsllNgr_D (Maharashtra)
IND400064AAB,Mumbai_MaladWest_CP (Maharashtra)
IND560048AAB,Bengaluru_Hoodi_IP (Karnataka)
IND127201AAA,Loharu_BstndDPP_D (Haryana)
IND124141AAA,ChrkhiDdri_PuranDPP_D (Haryana)
IND401501AAA,Boisar_OstwlEmp_D (Maharashtra)
IND401602AAA,Dahanu_KetyDPP_D (Maharashtra)
IND245101AAA,Hapur_Swargash_D (Uttar Pradesh)
IND174307AAA,Bangana_Bhaleti_D (Himachal Pradesh)
IND177033AAA,Nadaun_Ward6_D (Himachal Pradesh)
IND344022AAB,Balotra_BsnoiHPL_D (Rajasthan)
IND345021AAA,Pokhran_SttinDPP_D (Rajasthan)
IND342301AAA,Phalodi_PalikDPP_D (Rajasthan)
IND384205AAA,Mehsana_Panchot_IP (Gujarat)
IND384170AAA,Unjha_DC (Gujarat)
IND384265AAB,Patan_Central_D_2 (Gujarat)
